ErrorType;Class;Method;ViolatedRule;Object;Statement
NeverTypeOfError;org.cryptoapi.bench.predictablepbepassword.CryptoPredictablePBE;void method1(java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #c2e3787733a8321079269e46a9beaa581ba4dce7e3ff9fa22575bf16f427604e);First parameter should never be of type java.lang.String.;specialinvoke $r4.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r5, r0, s0, b1)
HardCodedError;org.cryptoapi.bench.predictablepbepassword.CryptoPredictablePBE;void method1(java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #c2e3787733a8321079269e46a9beaa581ba4dce7e3ff9fa22575bf16f427604e);First parameter should never be hardcoded.;specialinvoke $r4.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r5, r0, s0, b1)
IncompleteOperationError;org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordABSCase1;void <init>();violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #c2e3787733a8321079269e46a9beaa581ba4dce7e3ff9fa22575bf16f427604e);Operation on object of type javax.crypto.spec.PBEKeySpec object not completed. Expected call to clearPassword;virtualinvoke $r3.<org.cryptoapi.bench.predictablepbepassword.CryptoPredictablePBE: void method1(java.lang.String)>(varReplacer338)
NeverTypeOfError;org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordABMC1;void key(java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #d5c73b540d9b5665d6717708851e5aa14ba4cffed4a0ff5945d87b972be1a99e);First parameter should never be of type java.lang.String.;specialinvoke $r4.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r6, r0, s0, b1)
HardCodedError;org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordABMC1;void key(java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #d5c73b540d9b5665d6717708851e5aa14ba4cffed4a0ff5945d87b972be1a99e);First parameter should never be hardcoded.;specialinvoke $r4.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r6, r0, s0, b1)
IncompleteOperationError;org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordABMCCase1;void main(java.lang.String[]);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #d5c73b540d9b5665d6717708851e5aa14ba4cffed4a0ff5945d87b972be1a99e);Operation on object of type javax.crypto.spec.PBEKeySpec object not completed. Expected call to clearPassword;virtualinvoke r1.<org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordABMC1: void key(java.lang.String)>(r2)
NeverTypeOfError;org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordABHCase2;void key(java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #e30ef18c1895a2c07b3ceb2a69369008ab2d93a46d6e99f2eea58ba3336472a5);First parameter should never be of type java.lang.String.;specialinvoke $r4.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r6, r0, s0, b1)
HardCodedError;org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordABHCase2;void key(java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #e30ef18c1895a2c07b3ceb2a69369008ab2d93a46d6e99f2eea58ba3336472a5);First parameter should never be hardcoded.;specialinvoke $r4.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r6, r0, s0, b1)
IncompleteOperationError;org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordABHCase2;void main(java.lang.String[]);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #e30ef18c1895a2c07b3ceb2a69369008ab2d93a46d6e99f2eea58ba3336472a5);Operation on object of type javax.crypto.spec.PBEKeySpec object not completed. Expected call to clearPassword;virtualinvoke r1.<org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordABHCase2: void key(java.lang.String)>(r9)
NeverTypeOfError;org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordABHCase1;void key(byte[]);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #753193c2461e759fdf87894c16575ce5013d52430cbba42a073512c79e4634b6);First parameter should never be of type java.lang.String.;specialinvoke $r4.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r7, r0, s0, b1)
HardCodedError;org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordABHCase1;void key(byte[]);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #753193c2461e759fdf87894c16575ce5013d52430cbba42a073512c79e4634b6);First parameter should never be hardcoded.;specialinvoke $r4.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r7, r0, s0, b1)
IncompleteOperationError;org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordABHCase1;void main(java.lang.String[]);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #753193c2461e759fdf87894c16575ce5013d52430cbba42a073512c79e4634b6);Operation on object of type javax.crypto.spec.PBEKeySpec object not completed. Expected call to clearPassword;virtualinvoke r1.<org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordABHCase1: void key(byte[])>(r6)
NeverTypeOfError;org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordABPSCase1;void key(int);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #e592a1969ca75b3ef2dc7183784c260b697ac529460caefae452d43575b0a900);First parameter should never be of type java.lang.String.;specialinvoke $r3.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r4, r9, s1, b2)
HardCodedError;org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordABPSCase1;void key(int);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #e592a1969ca75b3ef2dc7183784c260b697ac529460caefae452d43575b0a900);First parameter should never be hardcoded.;specialinvoke $r3.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r4, r9, s1, b2)
IncompleteOperationError;org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordABPSCase1;void main(java.lang.String[]);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #e592a1969ca75b3ef2dc7183784c260b697ac529460caefae452d43575b0a900);Operation on object of type javax.crypto.spec.PBEKeySpec object not completed. Expected call to clearPassword;virtualinvoke r1.<org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordABPSCase1: void key(int)>(b0)
NeverTypeOfError;org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordCorrected;void key();violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #7b5f1da7e03ff784f4caf7356f3d08bd70fdb52c3ffb7819db3eb50ed14d3c4b);First parameter should never be of type java.lang.String.;specialinvoke $r6.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r7, r4, s0, b1)
HardCodedError;org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordCorrected;void key();violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #7b5f1da7e03ff784f4caf7356f3d08bd70fdb52c3ffb7819db3eb50ed14d3c4b);First parameter should never be hardcoded.;specialinvoke $r6.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r7, r4, s0, b1)
IncompleteOperationError;org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordCorrected;void main(java.lang.String[]);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #7b5f1da7e03ff784f4caf7356f3d08bd70fdb52c3ffb7819db3eb50ed14d3c4b);Operation on object of type javax.crypto.spec.PBEKeySpec object not completed. Expected call to clearPassword;virtualinvoke r1.<org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordCorrected: void key()>()
NeverTypeOfError;org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordBBCase1;void key();violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #e78d632c9ddfb1d31ff5fe6fba730a9a21cf7a64aa9c3ed7bb32350f8177b27e);First parameter should never be of type java.lang.String.;specialinvoke $r5.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r6, r1, s0, b1)
HardCodedError;org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordBBCase1;void key();violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #e78d632c9ddfb1d31ff5fe6fba730a9a21cf7a64aa9c3ed7bb32350f8177b27e);First parameter should never be hardcoded.;specialinvoke $r5.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r6, r1, s0, b1)
IncompleteOperationError;org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordBBCase1;void main(java.lang.String[]);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #e78d632c9ddfb1d31ff5fe6fba730a9a21cf7a64aa9c3ed7bb32350f8177b27e);Operation on object of type javax.crypto.spec.PBEKeySpec object not completed. Expected call to clearPassword;virtualinvoke r1.<org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordBBCase1: void key()>()
IncompleteOperationError;org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordABICase2;void main(java.lang.String[]);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #856c82f7d90c6ee746248bce860b64c2be27bc6d30e96f2eb99c2152e5d0faea);Operation on object of type javax.crypto.spec.PBEKeySpec object not completed. Expected call to clearPassword;specialinvoke r1.<org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordABICase2: void go()>()
HardCodedError;org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordBBCase2;void key();violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #4de65d487850098a69f08f9baf36bb39d2e31bb1cf114d7c5f39f552f6bb8de1);First parameter should never be hardcoded.;specialinvoke $r6.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>(r1, r2, s0, b1)
IncompleteOperationError;org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordBBCase2;void main(java.lang.String[]);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #4de65d487850098a69f08f9baf36bb39d2e31bb1cf114d7c5f39f552f6bb8de1);Operation on object of type javax.crypto.spec.PBEKeySpec object not completed. Expected call to clearPassword;virtualinvoke r1.<org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordBBCase2: void key()>()
NeverTypeOfError;org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordABICase3;void method2(java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #65cb0eb4f1e8d134a06ad720c011e0473cb0fa4aa257a133d88f02503316b41);First parameter should never be of type java.lang.String.;specialinvoke $r4.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r6, r0, s0, b1)
HardCodedError;org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordABICase3;void method2(java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #65cb0eb4f1e8d134a06ad720c011e0473cb0fa4aa257a133d88f02503316b41);First parameter should never be hardcoded.;specialinvoke $r4.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r6, r0, s0, b1)
IncompleteOperationError;org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordABICase3;void main(java.lang.String[]);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #65cb0eb4f1e8d134a06ad720c011e0473cb0fa4aa257a133d88f02503316b41);Operation on object of type javax.crypto.spec.PBEKeySpec object not completed. Expected call to clearPassword;virtualinvoke r1.<org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordABICase3: void method1(java.lang.String)>(r2)
NeverTypeOfError;org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordABICase1;void go(java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #ad02230ced9de4b9d30a5d30e581d18a0c6901a89f5a6478f5a51150ee739335);First parameter should never be of type java.lang.String.;specialinvoke $r4.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r6, r0, s0, b1)
HardCodedError;org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordABICase1;void go(java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #ad02230ced9de4b9d30a5d30e581d18a0c6901a89f5a6478f5a51150ee739335);First parameter should never be hardcoded.;specialinvoke $r4.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r6, r0, s0, b1)
IncompleteOperationError;org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordABICase1;void main(java.lang.String[]);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #ad02230ced9de4b9d30a5d30e581d18a0c6901a89f5a6478f5a51150ee739335);Operation on object of type javax.crypto.spec.PBEKeySpec object not completed. Expected call to clearPassword;virtualinvoke r1.<org.cryptoapi.bench.predictablepbepassword.PredictablePBEPasswordABICase1: void go(java.lang.String)>(r2)
RequiredPredicateError;org.cryptoapi.bench.predictableseeds.PredictableSeedsABICase5;void method2(byte[]);violating CrySL rule for java.security.SecureRandom ;First parameter was not properly generated as randomized;virtualinvoke r1.<java.security.SecureRandom: void setSeed(byte[])>(r2)
RequiredPredicateError;org.cryptoapi.bench.predictableseeds.CryptoPredictableSeed1;void method1(byte[]);violating CrySL rule for java.security.SecureRandom ;First parameter was not properly generated as randomized;virtualinvoke r2.<java.security.SecureRandom: void setSeed(byte[])>(r5)
RequiredPredicateError;org.cryptoapi.bench.predictableseeds.PredictableSeedsABMC1;void go(byte[]);violating CrySL rule for java.security.SecureRandom ;First parameter was not properly generated as randomized;virtualinvoke r1.<java.security.SecureRandom: void setSeed(byte[])>(r2)
RequiredPredicateError;org.cryptoapi.bench.staticinitializationvector.StaticInitializationVectorABICase3;void method2(byte[]);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r0.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>(r1)
RequiredPredicateError;org.cryptoapi.bench.staticinitializationvector.StaticInitializationVectorABICase3;void method2(byte[]);violating CrySL rule for javax.crypto.Cipher ;Third parameter was not properly generated as prepared I V;virtualinvoke r5.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer250, r4, r2)
RequiredPredicateError;org.cryptoapi.bench.predictablecryptographickey.PredictableCryptographicKeyBBCase1;void main(java.lang.String[]);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r1.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>(r5, varReplacer208)
RequiredPredicateError;org.cryptoapi.bench.predictableseeds.PredictableSeedsABMC2;void go(byte);violating CrySL rule for java.security.SecureRandom ;First parameter was not properly generated as randomized;specialinvoke $r0.<java.security.SecureRandom: void <init>(byte[])>($r1)
RequiredPredicateError;org.cryptoapi.bench.credentialinstring.CredentialInStringABICase2;void go();violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r0.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>(r3, varReplacer183)
RequiredPredicateError;org.cryptoapi.bench.staticinitializationvector.StaticInitializationVectorABHCase2;void go();violating CrySL rule for javax.crypto.Cipher ;Third parameter was not properly generated as prepared I V;virtualinvoke r2.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer260, r1, r14)
RequiredPredicateError;org.cryptoapi.bench.staticinitializationvector.StaticInitializationVectorABHCase2;void go();violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r13.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>(r12)
RequiredPredicateError;org.cryptoapi.bench.staticinitializationvector.StaticInitializationVectorABHCase1;void go();violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r5.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>(r4)
RequiredPredicateError;org.cryptoapi.bench.staticinitializationvector.StaticInitializationVectorABHCase1;void go();violating CrySL rule for javax.crypto.Cipher ;Third parameter was not properly generated as prepared I V;virtualinvoke r2.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer264, r1, r6)
RequiredPredicateError;org.cryptoapi.bench.credentialinstring.CredentialInStringABICase1;void go(java.lang.String);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r1.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>(r4, varReplacer193)
RequiredPredicateError;org.cryptoapi.bench.predictableseeds.PredictableSeedsABICase6;void method2(byte);violating CrySL rule for java.security.SecureRandom ;First parameter was not properly generated as randomized;specialinvoke $r0.<java.security.SecureRandom: void <init>(byte[])>($r1)
RequiredPredicateError;org.cryptoapi.bench.credentialinstring.CredentialInStringABMC1;void go(java.lang.String);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r1.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>(r5, varReplacer176)
RequiredPredicateError;org.cryptoapi.bench.predictablecryptographickey.PredictableCryptographicKeyABICase1;void go(byte[]);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r0.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>(r3, varReplacer199)
RequiredPredicateError;org.cryptoapi.bench.predictableseeds.PredictableSeedsABICase4;void go();violating CrySL rule for java.security.SecureRandom ;First parameter was not properly generated as randomized;specialinvoke $r0.<java.security.SecureRandom: void <init>(byte[])>($r1)
RequiredPredicateError;org.cryptoapi.bench.predictableseeds.PredictableSeedsABICase2;void go(byte);violating CrySL rule for java.security.SecureRandom ;First parameter was not properly generated as randomized;specialinvoke $r0.<java.security.SecureRandom: void <init>(byte[])>($r1)
RequiredPredicateError;org.cryptoapi.bench.staticinitializationvector.StaticInitializationVectorABICase1;void go(byte[]);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r0.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>(r1)
RequiredPredicateError;org.cryptoapi.bench.staticinitializationvector.StaticInitializationVectorABICase1;void go(byte[]);violating CrySL rule for javax.crypto.Cipher ;Third parameter was not properly generated as prepared I V;virtualinvoke r5.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer240, r4, r2)
RequiredPredicateError;org.cryptoapi.bench.staticinitializationvector.StaticInitializationVectorBBCase1;void go();violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r5.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>(r4)
RequiredPredicateError;org.cryptoapi.bench.staticinitializationvector.StaticInitializationVectorBBCase1;void go();violating CrySL rule for javax.crypto.Cipher ;Third parameter was not properly generated as prepared I V;virtualinvoke r2.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer269, r1, r6)
RequiredPredicateError;org.cryptoapi.bench.predictableseeds.CryptoPredictableSeed2;void method1(byte);violating CrySL rule for java.security.SecureRandom ;First parameter was not properly generated as randomized;specialinvoke $r1.<java.security.SecureRandom: void <init>(byte[])>($r2)
RequiredPredicateError;org.cryptoapi.bench.staticinitializationvector.CryptoStaticIV1;void method1(byte[]);violating CrySL rule for javax.crypto.Cipher ;Third parameter was not properly generated as prepared I V;virtualinvoke r5.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer276, r4, r2)
RequiredPredicateError;org.cryptoapi.bench.staticinitializationvector.CryptoStaticIV1;void method1(byte[]);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r1.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>(r7)
RequiredPredicateError;org.cryptoapi.bench.predictableseeds.PredictableSeedsABPSCase1;void main(java.lang.String[]);violating CrySL rule for java.security.SecureRandom ;First parameter was not properly generated as randomized;virtualinvoke r1.<java.security.SecureRandom: void setSeed(byte[])>(r3)
RequiredPredicateError;org.cryptoapi.bench.predictableseeds.PredictableSeedsABHCase2;void main(java.lang.String[]);violating CrySL rule for java.security.SecureRandom ;First parameter was not properly generated as randomized;virtualinvoke r15.<java.security.SecureRandom: void setSeed(byte[])>(r13)
RequiredPredicateError;org.cryptoapi.bench.staticinitializationvector.StaticInitializationVectorABMC1;void go(byte[]);violating CrySL rule for javax.crypto.Cipher ;Third parameter was not properly generated as prepared I V;virtualinvoke r5.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer271, r4, r2)
RequiredPredicateError;org.cryptoapi.bench.staticinitializationvector.StaticInitializationVectorABMC1;void go(byte[]);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r0.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>(r1)
RequiredPredicateError;org.cryptoapi.bench.predictablecryptographickey.Crypto;byte[] method1(java.lang.String,byte[]);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r2.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>(r11, $r4)
RequiredPredicateError;org.cryptoapi.bench.credentialinstring.CredentialInStringABHCase1;void main(java.lang.String[]);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r4.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>(r8, varReplacer173)
RequiredPredicateError;org.cryptoapi.bench.predictableseeds.PredictableSeedsBBCase2;void main(java.lang.String[]);violating CrySL rule for java.security.SecureRandom ;First parameter was not properly generated as randomized;specialinvoke $r0.<java.security.SecureRandom: void <init>(byte[])>($r1)
RequiredPredicateError;org.cryptoapi.bench.untrustedprng.UntrustedPRNGCase1;void main(java.lang.String[]);violating CrySL rule for javax.crypto.spec.PBEParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r3.<javax.crypto.spec.PBEParameterSpec: void <init>(byte[],int)>(r2, varReplacer79)
RequiredPredicateError;org.cryptoapi.bench.predictablecryptographickey.PredictableCryptographicKeyABHCase2;void main(java.lang.String[]);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r9.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>(r13, varReplacer222)
RequiredPredicateError;org.cryptoapi.bench.credentialinstring.Crypto;byte[] method1(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r2.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>(r11, $r4)
RequiredPredicateError;org.cryptoapi.bench.predictableseeds.PredictableSeedsCorrected;void main(java.lang.String[]);violating CrySL rule for java.security.SecureRandom ;First parameter was not properly generated as randomized;virtualinvoke r1.<java.security.SecureRandom: void setSeed(long)>(l0)
RequiredPredicateError;org.cryptoapi.bench.predictablecryptographickey.PredictableCryptographicKeyABICase3;void method2(byte[]);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r1.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>(r4, varReplacer198)
RequiredPredicateError;org.cryptoapi.bench.credentialinstring.CredentialInStringABICase3;void method2(java.lang.String);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r1.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>(r4, varReplacer195)
RequiredPredicateError;org.cryptoapi.bench.staticinitializationvector.StaticInitializationVectorABICase2;void go();violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r0.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r1)
RequiredPredicateError;org.cryptoapi.bench.staticinitializationvector.StaticInitializationVectorABICase2;void go();violating CrySL rule for javax.crypto.Cipher ;Third parameter was not properly generated as prepared I V;virtualinvoke r7.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer238, r6, r4)
RequiredPredicateError;org.cryptoapi.bench.predictableseeds.PredictableSeedsABICase3;void go();violating CrySL rule for java.security.SecureRandom ;First parameter was not properly generated as randomized;virtualinvoke r1.<java.security.SecureRandom: void setSeed(byte[])>($r2)
RequiredPredicateError;org.cryptoapi.bench.predictableseeds.PredictableSeedsBBCase1;void main(java.lang.String[]);violating CrySL rule for java.security.SecureRandom ;First parameter was not properly generated as randomized;virtualinvoke r1.<java.security.SecureRandom: void setSeed(byte[])>(r3)
RequiredPredicateError;org.cryptoapi.bench.predictableseeds.PredictableSeedsABHCase4;void main(java.lang.String[]);violating CrySL rule for java.security.SecureRandom ;First parameter was not properly generated as randomized;specialinvoke $r17.<java.security.SecureRandom: void <init>(byte[])>($r18)
RequiredPredicateError;org.cryptoapi.bench.predictableseeds.PredictableSeedsABICase1;void go(byte[]);violating CrySL rule for java.security.SecureRandom ;First parameter was not properly generated as randomized;virtualinvoke r1.<java.security.SecureRandom: void setSeed(byte[])>(r2)
RequiredPredicateError;org.cryptoapi.bench.predictablecryptographickey.PredictableCryptographicKeyABPSCase1;void main(java.lang.String[]);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r2.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>(r1, varReplacer201)
RequiredPredicateError;org.cryptoapi.bench.predictablecryptographickey.PredictableCryptographicKeyABICase2;void go();violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r0.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>(r3, varReplacer207)
RequiredPredicateError;org.cryptoapi.bench.predictablecryptographickey.PredictableCryptographicKeyABMC1;void go(byte[]);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r2.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>(r1, varReplacer211)
